paper_id,time_column,submitted_on,title,paper_url,highlight,tags,sections,code_repos,star_snapshot,focus
2603.07379,2026.3,7 Mar 2026,"SoK: Agentic Retrieval-Augmented Generation (RAG): Taxonomy, Architectures, Evaluation, and Research Directions",https://arxiv.org/abs/2603.07379,"Retrieval-Augmented Generation (RAG) systems are increasingly evolving into agentic architectures where large language models autonomously coordinate multi-step reasoning, dynamic memory management, and iterative retriev","enterprise-local, efficiency, tool-routing, memory",Representative Survey,,,False
2601.12538,2026.1,18 Jan 2026,Agentic Reasoning for Large Language Models,https://arxiv.org/abs/2601.12538,"Reasoning is a fundamental cognitive process underlying inference, problem-solving, and decision-making. While large language models (LLMs) demonstrate strong reasoning capabilities in closed-world settings, they struggl","enterprise-local, efficiency, tool-routing, memory",Representative Survey,,,False
2512.02038,2025.12,24 Nov 2025,Deep Research: A Systematic Survey,https://arxiv.org/abs/2512.02038,"Large language models (LLMs) have rapidly evolved from text generators into powerful problem solvers. Yet, many open tasks demand critical thinking, multi-source, and verifiable outputs, which are beyond single-shot prom","enterprise-local, efficiency, tool-routing, memory",Representative Survey,,,False
2510.16724,2025.10,19 Oct 2025,"A Comprehensive Survey on Reinforcement Learning-based Agentic Search: Foundations, Roles, Optimizations, Evaluations, and Applications",https://arxiv.org/abs/2510.16724,"The advent of large language models (LLMs) has transformed information access and reasoning through open-ended natural language interaction. However, LLMs remain limited by static knowledge, factual hallucinations, and t","enterprise-local, efficiency, retriever-training, reliability",Representative Survey,,,False
2509.06733,2025.9,8 Sep 2025,Reinforcement Learning Foundations for Deep Research Systems: A Survey,https://arxiv.org/abs/2509.06733,"Deep research systems, agentic AI that solve complex, multi-step tasks by coordinating reasoning, search across the open web and user files, and tool use, are moving toward hierarchical deployments with a Planner, Coordi","enterprise-local, efficiency, tool-routing, memory",Representative Survey,,,False
2509.02547,2025.9,2 Sep 2025,The Landscape of Agentic Reinforcement Learning for LLMs: A Survey,https://arxiv.org/abs/2509.02547,"The emergence of agentic reinforcement learning (Agentic RL) marks a paradigm shift from conventional reinforcement learning applied to large language models (LLM RL), reframing LLMs from passive sequence generators into","enterprise-local, efficiency, tool-routing, memory",Representative Survey,,,False
2508.05668,2025.8,3 Aug 2025,"A Survey of LLM-based Deep Search Agents: Paradigm, Optimization, Evaluation, and Challenges",https://arxiv.org/abs/2508.05668,"The advent of Large Language Models (LLMs) has significantly revolutionized web search. The emergence of LLM-based Search Agents marks a pivotal shift towards deeper, dynamic, autonomous information seeking.","enterprise-local, efficiency, memory",Representative Survey,,,False
2506.10408,2025.6,12 Jun 2025,Reasoning RAG via System 1 or System 2: A Survey on Reasoning Agentic Retrieval-Augmented Generation for Industry Challenges,https://arxiv.org/abs/2506.10408,Retrieval-Augmented Generation (RAG) has emerged as a powerful framework to overcome the knowledge limitations of Large Language Models (LLMs) by integrating external retrieval with language generation.,"enterprise-local, tool-routing",Representative Survey,,,False
2504.15909,2025.4,22 Apr 2025,Synergizing RAG and Reasoning: A Systematic Review,https://arxiv.org/abs/2504.15909,"Recent breakthroughs in large language models (LLMs), particularly in reasoning capabilities, have propelled Retrieval-Augmented Generation (RAG) to unprecedented levels. By synergizing retrieval mechanisms with advanced","enterprise-local, efficiency, memory, kg-hybrid",Representative Survey,,,False
2501.09136,2025.1,15 Jan 2025,Agentic Retrieval-Augmented Generation: A Survey on Agentic RAG,https://arxiv.org/abs/2501.09136,"Large Language Models (LLMs) have advanced artificial intelligence by enabling human-like text generation and natural language understanding. However, their reliance on static training data limits their ability to respon","enterprise-local, efficiency, tool-routing, memory",Representative Survey,,,False
2603.13853,2026.3,14 Mar 2026,APEX-Searcher,https://arxiv.org/abs/2603.13853,"Retrieval-augmented generation (RAG), based on large language models (LLMs), serves as a vital approach to retrieving and leveraging external knowledge in various domain applications.",enterprise-local,Method > How RL is Used: Optimization Strategies | Method > What RL is for: Functional Roles in Agentic Search > Retrieval Control | Method > Where RL is Applied: Optimization Scopes > Agent-level,,,False
2602.22675,2026.2,26 Feb 2026,"Search More, Think Less",https://arxiv.org/abs/2602.22675,"Recent deep research agents primarily improve performance by scaling reasoning depth, but this leads to high inference cost and latency in search-intensive scenarios. Moreover, generalization across heterogeneous researc","enterprise-local, efficiency, reliability, memory",Method > How RL is Used: Optimization Strategies | Method > What RL is for: Functional Roles in Agentic Search > Retrieval Control | Method > Where RL is Applied: Optimization Scopes > Agent-level,OPPO-PersonalAI/SMTL,2,True
